Nazwa,Sector,Pakiet,Ticker
HELIO,WIG-SPOZYW,934000,HEL
IMCOMPANY,WIG-SPOZYW,6496000,IMC
KERNEL,WIG-SPOZYW,21808000,KER
KRVITAMIN,WIG-SPOZYW,1672000,KVT
KSGAGRO,WIG-SPOZYW,6282000,KSG
MAKARONPL,WIG-SPOZYW,2974000,MAK
MBWS,WIG-SPOZYW,114000,MBW
MILKILAND,WIG-SPOZYW,6694000,MLK
OTMUCHOW,WIG-SPOZYW,10007000,OTM
OVOSTAR,WIG-SPOZYW,1378000,OVO
PAMAPOL,WIG-SPOZYW,5042000,PMP
PEPEES,WIG-SPOZYW,24187000,PPS
SEKO,WIG-SPOZYW,2494000,SEK
TARCZYNSKI,WIG-SPOZYW,2835000,TAR
WAWEL,WIG-SPOZYW,510000,WWL
BOGDANKA,WIG-GORNIC,12051000,LWB
COALENERG,WIG-GORNIC,11252000,CLE
GREENX,WIG-GORNIC,116200000,GRX
JSW,WIG-GORNIC,52636000,JSW
KGHM,WIG-GORNIC,136410000,KGH
BIOTON,WIG-LEKI,38904000,BIO
CLNPHARMA,WIG-LEKI,21031000,CLN
CORMAY,WIG-LEKI,68205000,CRM
KRKA,WIG-LEKI,345000,KRK
MABION,WIG-LEKI,10295000,MAB
PHARMENA,WIG-LEKI,3308000,PHR
SNTVERSE,WIG-LEKI,44775000,SVE
SOPHARMA,WIG-LEKI,68000,SPH
ACAUTOGAZ,WIG-MOTO,7874000,ACG
AUTOPARTN,WIG-MOTO,68675000,APR
INTERCARS,WIG-MOTO,9164000,CAR
SANOK,WIG-MOTO,23914000,SNK
CCC,WIG-ODZIEZ,45912000,CCC
CDRL,WIG-ODZIEZ,1020000,CDL
ESOTIQ,WIG-ODZIEZ,972000,EAH
HARPER,WIG-ODZIEZ,2164000,HRP
INTERSPPL,WIG-ODZIEZ,10636000,IPO
LPP,WIG-ODZIEZ,1048000,LPP
LUBAWA,WIG-ODZIEZ,73303000,LBW
MIRACULUM,WIG-ODZIEZ,19129000,MIR
MONNARI,WIG-ODZIEZ,13010000,MON
PROTEKTOR,WIG-ODZIEZ,6167000,PRT
SANWIL,WIG-ODZIEZ,8839000,SNW
SILVANO,WIG-ODZIEZ,812000,SFG
VRG,WIG-ODZIEZ,167423000,VRG
WITTCHEN,WIG-ODZIEZ,4533000,WTN
WOJAS,WIG-ODZIEZ,1767000,WOJ
11BIT,WIG-GRY,2248000,11B
3RGAMES,WIG-GRY,21824000,3RG
AIGAMES,WIG-GRY,4308000,ALG
ARTIFEX,WIG-GRY,6549000,ART
BIGCHEESE,WIG-GRY,1932000,BCS
BOOMBIT,WIG-GRY,2108000,BBT
CDPROJEKT,WIG-GRY,69744000,CDR
CIGAMES,WIG-GRY,93240000,CIG
CREEPYJAR,WIG-GRY,370000,CRJ
GAMEOPS,WIG-GRY,1212000,GOP
GAMFACTOR,WIG-GRY,2438000,GIF
HUUUGE,WIG-GRY,42854000,HUG
MOVIEGAMES,WIG-GRY,1989000,MOV
PCFGROUP,WIG-GRY,8912000,PCF
PLAYWAY,WIG-GRY,1200000,PLW
RAEN,WIG-GRY,20311000,RAE
SIMFABRIC,WIG-GRY,4384000,SIM
TSGAMES,WIG-GRY,4847000,TEN
ULTGAMES,WIG-GRY,2444000,ULG
VIVID,WIG-GRY,15280000,VVD
